[device] cuda
[data] total=7093 train=6738 val=355
[epoch 001] train loss=0.2579 acc=0.881 | val loss=0.1951 acc=0.920 | time=14.0s
[epoch 002] train loss=0.1818 acc=0.927 | val loss=0.1714 acc=0.929 | time=13.8s
[epoch 003] train loss=0.1600 acc=0.936 | val loss=0.1646 acc=0.932 | time=13.7s
[epoch 004] train loss=0.1485 acc=0.940 | val loss=0.1616 acc=0.935 | time=13.7s
[epoch 005] train loss=0.1393 acc=0.944 | val loss=0.1608 acc=0.935 | time=13.6s
[epoch 006] train loss=0.1326 acc=0.947 | val loss=0.1602 acc=0.934 | time=13.6s
[epoch 007] train loss=0.1272 acc=0.949 | val loss=0.1644 acc=0.936 | time=13.7s
[epoch 008] train loss=0.1214 acc=0.952 | val loss=0.1640 acc=0.936 | time=13.7s
[epoch 009] train loss=0.1165 acc=0.954 | val loss=0.1641 acc=0.937 | time=13.9s
[epoch 010] train loss=0.1126 acc=0.955 | val loss=0.1691 acc=0.934 | time=14.0s
[epoch 011] train loss=0.1083 acc=0.957 | val loss=0.1701 acc=0.938 | time=13.9s
[epoch 012] train loss=0.1046 acc=0.959 | val loss=0.1719 acc=0.936 | time=14.0s
[epoch 013] train loss=0.1021 acc=0.960 | val loss=0.1762 acc=0.936 | time=14.1s
[epoch 014] train loss=0.0990 acc=0.961 | val loss=0.1764 acc=0.938 | time=14.4s
[epoch 015] train loss=0.0963 acc=0.962 | val loss=0.1805 acc=0.937 | time=14.1s
[epoch 016] train loss=0.0936 acc=0.963 | val loss=0.1853 acc=0.936 | time=14.0s
[epoch 017] train loss=0.0909 acc=0.964 | val loss=0.1847 acc=0.937 | time=14.3s
[epoch 018] train loss=0.0889 acc=0.965 | val loss=0.1865 acc=0.937 | time=14.4s
[epoch 019] train loss=0.0856 acc=0.966 | val loss=0.1874 acc=0.938 | time=14.3s
[epoch 020] train loss=0.0842 acc=0.967 | val loss=0.1928 acc=0.939 | time=14.2s
[epoch 021] train loss=0.0822 acc=0.968 | val loss=0.1971 acc=0.937 | time=13.9s
[epoch 022] train loss=0.0798 acc=0.968 | val loss=0.1971 acc=0.936 | time=13.9s
[epoch 023] train loss=0.0778 acc=0.969 | val loss=0.2035 acc=0.936 | time=14.2s
[epoch 024] train loss=0.0763 acc=0.970 | val loss=0.2042 acc=0.937 | time=14.0s
[epoch 025] train loss=0.0745 acc=0.971 | val loss=0.2054 acc=0.936 | time=13.8s
[epoch 026] train loss=0.0720 acc=0.972 | val loss=0.2071 acc=0.936 | time=14.0s
[epoch 027] train loss=0.0712 acc=0.972 | val loss=0.2115 acc=0.937 | time=14.1s
[epoch 028] train loss=0.0689 acc=0.973 | val loss=0.2137 acc=0.937 | time=13.9s
[epoch 029] train loss=0.0671 acc=0.974 | val loss=0.2115 acc=0.935 | time=13.9s
[epoch 030] train loss=0.0653 acc=0.974 | val loss=0.2205 acc=0.935 | time=14.2s
[epoch 031] train loss=0.0638 acc=0.975 | val loss=0.2234 acc=0.936 | time=14.4s
[epoch 032] train loss=0.0621 acc=0.976 | val loss=0.2209 acc=0.937 | time=13.9s
[epoch 033] train loss=0.0603 acc=0.976 | val loss=0.2209 acc=0.938 | time=13.8s
[epoch 034] train loss=0.0584 acc=0.977 | val loss=0.2327 acc=0.935 | time=13.1s
[epoch 035] train loss=0.0577 acc=0.977 | val loss=0.2302 acc=0.936 | time=13.6s
[epoch 036] train loss=0.0557 acc=0.978 | val loss=0.2341 acc=0.935 | time=13.8s
[epoch 037] train loss=0.0543 acc=0.979 | val loss=0.2401 acc=0.935 | time=13.4s
[epoch 038] train loss=0.0535 acc=0.979 | val loss=0.2363 acc=0.936 | time=13.7s
[epoch 039] train loss=0.0509 acc=0.980 | val loss=0.2449 acc=0.934 | time=14.0s
[epoch 040] train loss=0.0508 acc=0.980 | val loss=0.2507 acc=0.933 | time=13.8s
[epoch 041] train loss=0.0483 acc=0.981 | val loss=0.2496 acc=0.935 | time=13.9s
[epoch 042] train loss=0.0471 acc=0.981 | val loss=0.2502 acc=0.936 | time=13.9s
[epoch 043] train loss=0.0464 acc=0.982 | val loss=0.2631 acc=0.935 | time=13.8s
[epoch 044] train loss=0.0462 acc=0.982 | val loss=0.2565 acc=0.934 | time=13.9s
[epoch 045] train loss=0.0453 acc=0.982 | val loss=0.2592 acc=0.936 | time=13.8s
[epoch 046] train loss=0.0436 acc=0.983 | val loss=0.2655 acc=0.937 | time=13.8s
[epoch 047] train loss=0.0426 acc=0.984 | val loss=0.2690 acc=0.936 | time=13.9s
[epoch 048] train loss=0.0411 acc=0.984 | val loss=0.2709 acc=0.934 | time=14.0s
[epoch 049] train loss=0.0401 acc=0.985 | val loss=0.2787 acc=0.933 | time=13.9s
[epoch 050] train loss=0.0389 acc=0.985 | val loss=0.2800 acc=0.935 | time=13.8s
[OK] saved: /home/jinlin/data/geoexplicit_data/experiments/icml2026_routegen/_baseline_sota_runs/B2_rnn_ar_seed0
