[device] cuda
[data] total=7093 train=6738 val=355
[epoch 001] train loss=0.3092 acc=0.827 | val loss=0.2960 acc=0.843 | time=11.7s
[epoch 002] train loss=0.2867 acc=0.851 | val loss=0.2799 acc=0.856 | time=11.3s
[epoch 003] train loss=0.2699 acc=0.862 | val loss=0.2683 acc=0.860 | time=11.1s
[epoch 004] train loss=0.2571 acc=0.870 | val loss=0.2609 acc=0.865 | time=10.9s
[epoch 005] train loss=0.2495 acc=0.876 | val loss=0.2560 acc=0.866 | time=10.9s
[epoch 006] train loss=0.2434 acc=0.881 | val loss=0.2538 acc=0.869 | time=11.2s
[epoch 007] train loss=0.2383 acc=0.883 | val loss=0.2520 acc=0.873 | time=11.2s
[epoch 008] train loss=0.2344 acc=0.886 | val loss=0.2512 acc=0.873 | time=11.1s
[epoch 009] train loss=0.2322 acc=0.888 | val loss=0.2507 acc=0.875 | time=11.2s
[epoch 010] train loss=0.2293 acc=0.889 | val loss=0.2511 acc=0.873 | time=11.1s
[epoch 011] train loss=0.2276 acc=0.891 | val loss=0.2513 acc=0.875 | time=11.1s
[epoch 012] train loss=0.2252 acc=0.892 | val loss=0.2514 acc=0.874 | time=11.1s
[epoch 013] train loss=0.2238 acc=0.893 | val loss=0.2505 acc=0.875 | time=11.1s
[epoch 014] train loss=0.2213 acc=0.895 | val loss=0.2518 acc=0.875 | time=11.1s
[epoch 015] train loss=0.2194 acc=0.896 | val loss=0.2515 acc=0.876 | time=10.9s
[epoch 016] train loss=0.2187 acc=0.896 | val loss=0.2519 acc=0.875 | time=11.1s
[epoch 017] train loss=0.2162 acc=0.898 | val loss=0.2511 acc=0.878 | time=11.0s
[epoch 018] train loss=0.2143 acc=0.899 | val loss=0.2515 acc=0.878 | time=10.8s
[epoch 019] train loss=0.2132 acc=0.900 | val loss=0.2526 acc=0.878 | time=10.8s
[epoch 020] train loss=0.2110 acc=0.901 | val loss=0.2516 acc=0.879 | time=11.0s
[epoch 021] train loss=0.2089 acc=0.903 | val loss=0.2525 acc=0.879 | time=11.0s
[epoch 022] train loss=0.2073 acc=0.903 | val loss=0.2512 acc=0.881 | time=11.1s
[epoch 023] train loss=0.2058 acc=0.904 | val loss=0.2530 acc=0.881 | time=11.2s
[epoch 024] train loss=0.2040 acc=0.905 | val loss=0.2530 acc=0.882 | time=11.2s
[epoch 025] train loss=0.2019 acc=0.906 | val loss=0.2533 acc=0.883 | time=11.3s
[epoch 026] train loss=0.2003 acc=0.906 | val loss=0.2534 acc=0.882 | time=11.1s
[epoch 027] train loss=0.1990 acc=0.908 | val loss=0.2542 acc=0.883 | time=10.8s
[epoch 028] train loss=0.1976 acc=0.909 | val loss=0.2550 acc=0.882 | time=11.1s
[epoch 029] train loss=0.1956 acc=0.910 | val loss=0.2544 acc=0.884 | time=11.0s
[epoch 030] train loss=0.1935 acc=0.911 | val loss=0.2551 acc=0.884 | time=11.1s
[epoch 031] train loss=0.1918 acc=0.911 | val loss=0.2555 acc=0.885 | time=11.0s
[epoch 032] train loss=0.1911 acc=0.912 | val loss=0.2563 acc=0.887 | time=11.0s
[epoch 033] train loss=0.1887 acc=0.913 | val loss=0.2563 acc=0.885 | time=11.2s
[epoch 034] train loss=0.1869 acc=0.914 | val loss=0.2568 acc=0.885 | time=11.2s
[epoch 035] train loss=0.1848 acc=0.915 | val loss=0.2575 acc=0.886 | time=11.3s
[epoch 036] train loss=0.1834 acc=0.917 | val loss=0.2565 acc=0.886 | time=11.3s
[epoch 037] train loss=0.1801 acc=0.918 | val loss=0.2560 acc=0.888 | time=11.2s
[epoch 038] train loss=0.1783 acc=0.919 | val loss=0.2585 acc=0.887 | time=11.1s
[epoch 039] train loss=0.1773 acc=0.919 | val loss=0.2597 acc=0.887 | time=11.0s
[epoch 040] train loss=0.1745 acc=0.921 | val loss=0.2609 acc=0.890 | time=11.1s
[epoch 041] train loss=0.1722 acc=0.922 | val loss=0.2594 acc=0.891 | time=11.2s
[epoch 042] train loss=0.1720 acc=0.922 | val loss=0.2612 acc=0.890 | time=11.1s
[epoch 043] train loss=0.1695 acc=0.923 | val loss=0.2625 acc=0.890 | time=11.1s
[epoch 044] train loss=0.1674 acc=0.924 | val loss=0.2631 acc=0.890 | time=10.6s
[epoch 045] train loss=0.1651 acc=0.925 | val loss=0.2637 acc=0.890 | time=11.0s
[epoch 046] train loss=0.1638 acc=0.926 | val loss=0.2647 acc=0.891 | time=11.1s
[epoch 047] train loss=0.1611 acc=0.927 | val loss=0.2665 acc=0.892 | time=11.2s
[epoch 048] train loss=0.1588 acc=0.929 | val loss=0.2671 acc=0.891 | time=10.9s
[epoch 049] train loss=0.1576 acc=0.929 | val loss=0.2667 acc=0.893 | time=11.0s
[epoch 050] train loss=0.1545 acc=0.931 | val loss=0.2676 acc=0.893 | time=11.0s
[OK] saved: /home/jinlin/data/geoexplicit_data/experiments/icml2026_routegen/_baseline_sota_runs/S1_gtg_seed0
