2026-02-12 10:59:09,173 - INFO - device=cuda
2026-02-12 10:59:09,176 - WARNING - way_regions_npz meta/per_city missing; fallback to single-city mapping (all regions -> city 0).
2026-02-12 10:59:09,181 - INFO - region_meta: {'n_regions': 113, 'n_cities': 1, 'region_city_counts': {'0': 113}, 'static_dim': 4, 'deg': {'p50': 35.0, 'p90': 68.8, 'max': 92}, 'n_ways': {'p50': 307.0, 'p90': 481.0, 'max': 680.0}, 'coord_scale': 1024.0}
2026-02-12 10:59:10,070 - INFO - split_json=/home/jinlin/data/geoexplicit_data/experiments/icml2026_routegen/WAYCASD0_waydata_porto_seed0/W5_way_routes_strict_gate/od_split_min3_max160_seed0_dev10p.json train_routes=108153 val_routes=13086 => train_idx=108153 val_idx=13086
2026-02-12 11:00:50,309 - INFO - [epoch 015] train={'loss': 0.6225341296519304, 'acc': 0.7795038851408289, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 382492.0} val={'loss': 0.6495744968849875, 'acc': 0.7750856858382086, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 46680.0}
2026-02-12 11:00:56,532 - INFO - [epoch 016] train={'loss': 0.6151941649348278, 'acc': 0.7821679938850923, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 382492.0} val={'loss': 0.6474391854897257, 'acc': 0.7758140576427168, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 46680.0}
2026-02-12 11:01:02,725 - INFO - [epoch 017] train={'loss': 0.6094343727544829, 'acc': 0.7839431944372511, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 382492.0} val={'loss': 0.6498817932878995, 'acc': 0.7758568986765114, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 46680.0}
2026-02-12 11:01:08,911 - INFO - [epoch 018] train={'loss': 0.6026684096885951, 'acc': 0.7864033745627349, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 382492.0} val={'loss': 0.6483534755135767, 'acc': 0.7752570698441557, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 46680.0}
2026-02-12 11:01:15,011 - INFO - [epoch 019] train={'loss': 0.5975473836135554, 'acc': 0.7873942447672596, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 382492.0} val={'loss': 0.640251786485889, 'acc': 0.7769494412758969, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 46680.0}
2026-02-12 11:01:21,221 - INFO - [epoch 020] train={'loss': 0.590959803796314, 'acc': 0.7888870884899478, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 382492.0} val={'loss': 0.6370136341953134, 'acc': 0.7816623841275899, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 46680.0}
2026-02-12 11:01:27,385 - INFO - [epoch 021] train={'loss': 0.5847394731517802, 'acc': 0.7912296198205853, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 382492.0} val={'loss': 0.6373855153770659, 'acc': 0.7794772934957049, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 46680.0}
2026-02-12 11:01:33,423 - INFO - [epoch 022] train={'loss': 0.5790339594997579, 'acc': 0.7932976384142109, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 382492.0} val={'loss': 0.6326791667897372, 'acc': 0.7801842343352652, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 46680.0}
2026-02-12 11:01:39,452 - INFO - [epoch 023] train={'loss': 0.5710774429219846, 'acc': 0.7960872391503665, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 382492.0} val={'loss': 0.6320389063698467, 'acc': 0.7807197955626142, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 46680.0}
2026-02-12 11:01:45,580 - INFO - [epoch 024] train={'loss': 0.5661745170155889, 'acc': 0.7974545877836818, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 382492.0} val={'loss': 0.6311452649425214, 'acc': 0.7833119145727812, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 46680.0}
2026-02-12 11:01:51,391 - INFO - [epoch 025] train={'loss': 0.5610216605488986, 'acc': 0.7992663897310046, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 382492.0} val={'loss': 0.6270776351407847, 'acc': 0.7829905775092357, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 46680.0}
2026-02-12 11:01:56,901 - INFO - [epoch 026] train={'loss': 0.553204629170185, 'acc': 0.8012455151862753, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 382492.0} val={'loss': 0.6342361602194818, 'acc': 0.781512419696843, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 46680.0}
2026-02-12 11:02:02,918 - INFO - [epoch 027] train={'loss': 0.5477517717628407, 'acc': 0.8031279085207882, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 382492.0} val={'loss': 0.6262643931968251, 'acc': 0.786589544776575, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 46680.0}
2026-02-12 11:02:09,012 - INFO - [epoch 028] train={'loss': 0.5414206369224374, 'acc': 0.8052508290860778, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 382492.0} val={'loss': 0.625475114845729, 'acc': 0.7847900585616973, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 46680.0}
2026-02-12 11:02:15,023 - INFO - [epoch 029] train={'loss': 0.535487197649875, 'acc': 0.8074103492427712, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 382492.0} val={'loss': 0.6252757472928611, 'acc': 0.7858397634893068, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 46680.0}
2026-02-12 11:02:15,069 - INFO - saved: _sync/wsa/pi_verify/20260212_porto_region_ar_res5_s0/report.json
2026-02-12 11:02:15,069 - INFO - ckpt_best: _sync/wsa/pi_verify/20260212_porto_region_ar_res5_s0/ckpt_best.pt
2026-02-12 11:02:15,069 - INFO - ckpt_best_acc: _sync/wsa/pi_verify/20260212_porto_region_ar_res5_s0/ckpt_best_acc.pt
