[device] cuda
[data] total=7093 train=6738 val=355
[epoch 001] train loss=0.5543 acc=0.836 | val loss=0.3064 acc=0.856 | time=9.2s
[epoch 002] train loss=0.2998 acc=0.862 | val loss=0.2872 acc=0.868 | time=8.4s
[epoch 003] train loss=0.2728 acc=0.877 | val loss=0.2750 acc=0.877 | time=8.5s
[epoch 004] train loss=0.2482 acc=0.891 | val loss=0.2719 acc=0.883 | time=8.5s
[epoch 005] train loss=0.2249 acc=0.904 | val loss=0.2571 acc=0.891 | time=8.6s
[epoch 006] train loss=0.2002 acc=0.916 | val loss=0.2482 acc=0.904 | time=8.5s
[epoch 007] train loss=0.1786 acc=0.927 | val loss=0.2468 acc=0.905 | time=8.4s
[epoch 008] train loss=0.1597 acc=0.936 | val loss=0.2483 acc=0.910 | time=8.5s
[epoch 009] train loss=0.1433 acc=0.943 | val loss=0.2528 acc=0.909 | time=8.6s
[epoch 010] train loss=0.1282 acc=0.950 | val loss=0.2648 acc=0.914 | time=8.6s
[epoch 011] train loss=0.1154 acc=0.955 | val loss=0.2721 acc=0.913 | time=8.5s
[epoch 012] train loss=0.1037 acc=0.961 | val loss=0.2889 acc=0.915 | time=8.5s
[epoch 013] train loss=0.0948 acc=0.964 | val loss=0.2990 acc=0.915 | time=8.6s
[epoch 014] train loss=0.0851 acc=0.968 | val loss=0.2970 acc=0.915 | time=8.6s
[epoch 015] train loss=0.0776 acc=0.971 | val loss=0.3036 acc=0.916 | time=8.8s
[epoch 016] train loss=0.0731 acc=0.973 | val loss=0.3109 acc=0.916 | time=8.7s
[epoch 017] train loss=0.0690 acc=0.975 | val loss=0.3238 acc=0.913 | time=8.8s
[epoch 018] train loss=0.0649 acc=0.977 | val loss=0.3278 acc=0.916 | time=8.7s
[epoch 019] train loss=0.0598 acc=0.978 | val loss=0.3326 acc=0.917 | time=8.7s
[epoch 020] train loss=0.0575 acc=0.979 | val loss=0.3450 acc=0.918 | time=8.7s
[epoch 021] train loss=0.0550 acc=0.980 | val loss=0.3252 acc=0.918 | time=8.6s
[epoch 022] train loss=0.0522 acc=0.981 | val loss=0.3549 acc=0.918 | time=8.7s
[epoch 023] train loss=0.0503 acc=0.981 | val loss=0.3664 acc=0.917 | time=8.5s
[epoch 024] train loss=0.0475 acc=0.982 | val loss=0.3368 acc=0.919 | time=8.6s
[epoch 025] train loss=0.0450 acc=0.984 | val loss=0.3728 acc=0.919 | time=8.4s
[epoch 026] train loss=0.0442 acc=0.983 | val loss=0.3741 acc=0.919 | time=8.5s
[epoch 027] train loss=0.0413 acc=0.985 | val loss=0.3807 acc=0.920 | time=8.6s
[epoch 028] train loss=0.0401 acc=0.985 | val loss=0.3920 acc=0.921 | time=8.5s
[epoch 029] train loss=0.0386 acc=0.986 | val loss=0.3729 acc=0.920 | time=8.3s
[epoch 030] train loss=0.0368 acc=0.986 | val loss=0.3880 acc=0.921 | time=8.4s
[epoch 031] train loss=0.0352 acc=0.987 | val loss=0.3994 acc=0.918 | time=8.7s
[epoch 032] train loss=0.0346 acc=0.987 | val loss=0.4068 acc=0.918 | time=8.6s
[epoch 033] train loss=0.0328 acc=0.987 | val loss=0.4074 acc=0.921 | time=8.4s
[epoch 034] train loss=0.0316 acc=0.988 | val loss=0.4156 acc=0.922 | time=8.3s
[epoch 035] train loss=0.0313 acc=0.988 | val loss=0.4214 acc=0.921 | time=8.6s
[epoch 036] train loss=0.0305 acc=0.989 | val loss=0.4180 acc=0.919 | time=8.6s
[epoch 037] train loss=0.0293 acc=0.989 | val loss=0.4227 acc=0.923 | time=8.6s
[epoch 038] train loss=0.0291 acc=0.989 | val loss=0.4371 acc=0.919 | time=8.6s
[epoch 039] train loss=0.0287 acc=0.989 | val loss=0.4496 acc=0.921 | time=8.6s
[epoch 040] train loss=0.0269 acc=0.990 | val loss=0.4317 acc=0.920 | time=8.7s
[epoch 041] train loss=0.0268 acc=0.990 | val loss=0.4401 acc=0.921 | time=8.5s
[epoch 042] train loss=0.0268 acc=0.990 | val loss=0.4556 acc=0.923 | time=8.7s
[epoch 043] train loss=0.0251 acc=0.990 | val loss=0.4557 acc=0.922 | time=8.7s
[epoch 044] train loss=0.0250 acc=0.991 | val loss=0.4654 acc=0.921 | time=8.6s
[epoch 045] train loss=0.0242 acc=0.991 | val loss=0.4441 acc=0.920 | time=8.5s
[epoch 046] train loss=0.0235 acc=0.991 | val loss=0.4659 acc=0.921 | time=8.5s
[epoch 047] train loss=0.0230 acc=0.991 | val loss=0.4585 acc=0.921 | time=8.5s
[epoch 048] train loss=0.0220 acc=0.992 | val loss=0.4433 acc=0.920 | time=8.6s
[epoch 049] train loss=0.0224 acc=0.991 | val loss=0.4846 acc=0.923 | time=8.7s
[epoch 050] train loss=0.0221 acc=0.992 | val loss=0.4864 acc=0.922 | time=8.6s
[OK] saved: /home/jinlin/data/geoexplicit_data/experiments/icml2026_routegen/_baseline_sota_runs/B3_transformer_ar_seed0
