2026-02-02 21:37:44,790 - INFO - device=cuda
2026-02-02 21:37:44,795 - INFO - region_meta: {'n_regions': 154, 'n_cities': 2, 'region_city_counts': {'0': 77, '1': 77}, 'static_dim': 4, 'deg': {'p50': 4.0, 'p90': 8.0, 'max': 12}, 'n_ways': {'p50': 106.5, 'p90': 170.70000000000002, 'max': 239.0}, 'coord_scale': 1024.0}
2026-02-02 21:37:46,657 - INFO - [epoch 000] train={'loss': 1.5121457191695153, 'acc': 0.40444869894148544, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 8362.0} val={'loss': 1.323163668314616, 'acc': 0.4847494552727618, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 918.0}
2026-02-02 21:37:47,590 - INFO - [epoch 001] train={'loss': 1.2452566366650732, 'acc': 0.5367137088755106, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 8362.0} val={'loss': 1.1062928017447977, 'acc': 0.6045751844356263, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 918.0}
2026-02-02 21:37:48,535 - INFO - [epoch 002] train={'loss': 1.014430259594761, 'acc': 0.6552260205580897, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 8362.0} val={'loss': 0.8945241889922447, 'acc': 0.688453172936159, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 918.0}
2026-02-02 21:37:49,515 - INFO - [epoch 003] train={'loss': 0.8367892004847098, 'acc': 0.7286534388294575, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 8362.0} val={'loss': 0.7647934630026225, 'acc': 0.7352941402422837, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 918.0}
2026-02-02 21:37:50,466 - INFO - [epoch 004] train={'loss': 0.7215660203090555, 'acc': 0.7654867257492532, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 8362.0} val={'loss': 0.6801090906648075, 'acc': 0.7734204947558883, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 918.0}
2026-02-02 21:37:51,474 - INFO - [epoch 005] train={'loss': 0.6321625325261221, 'acc': 0.7977756528129021, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 8362.0} val={'loss': 0.6162371288717182, 'acc': 0.7875817032421336, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 918.0}
2026-02-02 21:37:52,446 - INFO - [epoch 006] train={'loss': 0.5621115555534577, 'acc': 0.8265965094309166, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 8362.0} val={'loss': 0.5689760333572338, 'acc': 0.8093682106803445, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 918.0}
2026-02-02 21:37:53,434 - INFO - [epoch 007] train={'loss': 0.5204112288470589, 'acc': 0.8409471359158269, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 8362.0} val={'loss': 0.5355705030603346, 'acc': 0.8257080515225729, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 918.0}
2026-02-02 21:37:54,400 - INFO - [epoch 008] train={'loss': 0.48082855926535684, 'acc': 0.8558957116494365, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 8362.0} val={'loss': 0.49673233663334565, 'acc': 0.8366013060208239, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 918.0}
2026-02-02 21:37:55,352 - INFO - [epoch 009] train={'loss': 0.4456649504154671, 'acc': 0.867615401830379, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 8362.0} val={'loss': 0.4873301866007786, 'acc': 0.8387799543492934, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 918.0}
2026-02-02 21:37:56,343 - INFO - [epoch 010] train={'loss': 0.41619534920602574, 'acc': 0.8756278403864269, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 8362.0} val={'loss': 0.451963630571864, 'acc': 0.8540305039461922, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 918.0}
2026-02-02 21:37:57,310 - INFO - [epoch 011] train={'loss': 0.3832771699912124, 'acc': 0.8865104000324896, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 8362.0} val={'loss': 0.44647988813375333, 'acc': 0.8594771272995892, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 918.0}
2026-02-02 21:37:58,270 - INFO - [epoch 012] train={'loss': 0.36143812851183327, 'acc': 0.8923702494461153, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 8362.0} val={'loss': 0.41862504564079583, 'acc': 0.8649237455885395, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 918.0}
2026-02-02 21:37:59,213 - INFO - [epoch 013] train={'loss': 0.3465514536915827, 'acc': 0.8971537880437336, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 8362.0} val={'loss': 0.41839347068780386, 'acc': 0.8660130707267063, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 918.0}
2026-02-02 21:38:00,195 - INFO - [epoch 014] train={'loss': 0.3217330551181676, 'acc': 0.9064817030274164, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 8362.0} val={'loss': 0.38601481388596925, 'acc': 0.8714596792763355, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 918.0}
2026-02-02 21:38:01,097 - INFO - [epoch 015] train={'loss': 0.30329835482246426, 'acc': 0.9111456517838485, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 8362.0} val={'loss': 0.37969253480044846, 'acc': 0.8736383502000298, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 918.0}
2026-02-02 21:38:01,993 - INFO - [epoch 016] train={'loss': 0.2906583808585235, 'acc': 0.9161683842557607, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 8362.0} val={'loss': 0.37692443354457034, 'acc': 0.8823529435139076, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 918.0}
2026-02-02 21:38:02,884 - INFO - [epoch 017] train={'loss': 0.27364051135475626, 'acc': 0.9217890494535825, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 8362.0} val={'loss': 0.3727575121751798, 'acc': 0.8834422733269486, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 918.0}
2026-02-02 21:38:03,844 - INFO - [epoch 018] train={'loss': 0.25290096907938137, 'acc': 0.9312365474497921, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 8362.0} val={'loss': 0.36310675194840025, 'acc': 0.8943355231503256, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 918.0}
2026-02-02 21:38:04,783 - INFO - [epoch 019] train={'loss': 0.2480134965735627, 'acc': 0.9287251892400056, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 8362.0} val={'loss': 0.34894273658983066, 'acc': 0.8910675270884645, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 918.0}
2026-02-02 21:38:05,748 - INFO - [epoch 020] train={'loss': 0.236916620686162, 'acc': 0.9319540824054161, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 8362.0} val={'loss': 0.3548148321170433, 'acc': 0.8954248334847245, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 918.0}
2026-02-02 21:38:06,611 - INFO - [epoch 021] train={'loss': 0.2296144993549413, 'acc': 0.9339870813787625, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 8362.0} val={'loss': 0.34231561091211105, 'acc': 0.8986927874727186, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 918.0}
2026-02-02 21:38:07,499 - INFO - [epoch 022] train={'loss': 0.21693189140819985, 'acc': 0.9387706273111308, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 8362.0} val={'loss': 0.3450926705902698, 'acc': 0.8921568584597968, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 918.0}
2026-02-02 21:38:08,329 - INFO - [epoch 023] train={'loss': 0.21244519220117575, 'acc': 0.9387706281593672, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 8362.0} val={'loss': 0.34272950653936346, 'acc': 0.8921568650825351, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 918.0}
2026-02-02 21:38:09,222 - INFO - [epoch 024] train={'loss': 0.20428344196421883, 'acc': 0.9408036360855281, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 8362.0} val={'loss': 0.34134362939915625, 'acc': 0.8910675481253979, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 918.0}
2026-02-02 21:38:10,176 - INFO - [epoch 025] train={'loss': 0.1941240858825677, 'acc': 0.9455871777767144, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 8362.0} val={'loss': 0.34057952882417664, 'acc': 0.899782138322693, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 918.0}
2026-02-02 21:38:11,125 - INFO - [epoch 026] train={'loss': 0.1805435822618632, 'acc': 0.9490552545164054, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 8362.0} val={'loss': 0.33480579011580525, 'acc': 0.9019608010653577, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 918.0}
2026-02-02 21:38:12,095 - INFO - [epoch 027] train={'loss': 0.17695399926192623, 'acc': 0.9512078489834713, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 8362.0} val={'loss': 0.3371889201644199, 'acc': 0.899782138322693, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 918.0}
2026-02-02 21:38:13,023 - INFO - [epoch 028] train={'loss': 0.1724553984803493, 'acc': 0.9490552477091302, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 8362.0} val={'loss': 0.3479880505527546, 'acc': 0.8997821270250806, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 918.0}
2026-02-02 21:38:13,916 - INFO - [epoch 029] train={'loss': 0.16032875367212854, 'acc': 0.9545563316407941, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 8362.0} val={'loss': 0.34809502667071773, 'acc': 0.8888889110945408, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 918.0}
2026-02-02 21:38:14,786 - INFO - [epoch 030] train={'loss': 0.1552243789498015, 'acc': 0.9576656245652125, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 8362.0} val={'loss': 0.33501721791971745, 'acc': 0.905228769467547, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 918.0}
2026-02-02 21:38:15,721 - INFO - [epoch 031] train={'loss': 0.1458133421740273, 'acc': 0.9594594624175948, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 8362.0} val={'loss': 0.32988666241465053, 'acc': 0.9019607882094539, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 918.0}
2026-02-02 21:38:16,653 - INFO - [epoch 032] train={'loss': 0.14650669287916035, 'acc': 0.9585027462684547, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 8362.0} val={'loss': 0.3504951426795885, 'acc': 0.9008714712523167, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 918.0}
2026-02-02 21:38:17,545 - INFO - [epoch 033] train={'loss': 0.13824149523856138, 'acc': 0.960416170098627, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 8362.0} val={'loss': 0.3466014024478937, 'acc': 0.9052287437557395, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 918.0}
2026-02-02 21:38:18,455 - INFO - [epoch 034] train={'loss': 0.13533649393293853, 'acc': 0.9636450590085994, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 8362.0} val={'loss': 0.3512750593275806, 'acc': 0.8976034833714853, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 918.0}
2026-02-02 21:38:19,357 - INFO - [epoch 035] train={'loss': 0.13154110757162257, 'acc': 0.9635254679770311, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 8362.0} val={'loss': 0.3370252662624409, 'acc': 0.9008714630712871, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 918.0}
2026-02-02 21:38:20,264 - INFO - [epoch 036] train={'loss': 0.12867673551603614, 'acc': 0.9631667053676684, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 8362.0} val={'loss': 0.33845115253348756, 'acc': 0.8986928342214597, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 918.0}
2026-02-02 21:38:21,165 - INFO - [epoch 037] train={'loss': 0.12297934103962965, 'acc': 0.9637646511236294, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 8362.0} val={'loss': 0.35756397753759145, 'acc': 0.9008714583964129, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 918.0}
2026-02-02 21:38:21,978 - INFO - [epoch 038] train={'loss': 0.11710212514146581, 'acc': 0.9672327203004732, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 8362.0} val={'loss': 0.3532644338857115, 'acc': 0.9019607897677453, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 918.0}
2026-02-02 21:38:22,895 - INFO - [epoch 039] train={'loss': 0.11392246810881979, 'acc': 0.9678306642102728, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 8362.0} val={'loss': 0.35209063630478055, 'acc': 0.9019607753535501, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 918.0}
2026-02-02 21:38:22,929 - INFO - saved: _sync/wsa/pi_verify/20260201_min5_candq1_past8_len160_s0/regions_louvain_res1p0_v1/region_ar_masked_s0/report.json
2026-02-02 21:38:22,929 - INFO - ckpt_best: _sync/wsa/pi_verify/20260201_min5_candq1_past8_len160_s0/regions_louvain_res1p0_v1/region_ar_masked_s0/ckpt_best.pt
2026-02-02 21:38:22,929 - INFO - ckpt_best_acc: _sync/wsa/pi_verify/20260201_min5_candq1_past8_len160_s0/regions_louvain_res1p0_v1/region_ar_masked_s0/ckpt_best_acc.pt
