[device] cuda
[split] _sync/wsa/pi_verify/20260206_od_disjoint_s0/od_split_min5_max160_seed0.json train_routes=4316 val_routes=233 => train_idx=4316 val_idx=233
[data] total=5022 train=4316 val=233
[epoch 001] train loss=0.6410 acc=0.834 | val loss=0.3301 acc=0.853 | time=6.0s
[epoch 002] train loss=0.3092 acc=0.860 | val loss=0.2989 acc=0.858 | time=5.4s
[epoch 003] train loss=0.2782 acc=0.874 | val loss=0.2991 acc=0.866 | time=5.3s
[epoch 004] train loss=0.2580 acc=0.886 | val loss=0.2964 acc=0.869 | time=5.3s
[epoch 005] train loss=0.2357 acc=0.898 | val loss=0.2895 acc=0.881 | time=5.3s
[epoch 006] train loss=0.2110 acc=0.911 | val loss=0.2955 acc=0.888 | time=5.3s
[epoch 007] train loss=0.1868 acc=0.924 | val loss=0.2953 acc=0.893 | time=5.3s
[epoch 008] train loss=0.1643 acc=0.935 | val loss=0.2987 acc=0.893 | time=5.3s
[epoch 009] train loss=0.1428 acc=0.944 | val loss=0.2996 acc=0.896 | time=5.4s
[epoch 010] train loss=0.1264 acc=0.952 | val loss=0.3176 acc=0.902 | time=5.2s
[epoch 011] train loss=0.1111 acc=0.959 | val loss=0.3396 acc=0.903 | time=5.4s
[epoch 012] train loss=0.0996 acc=0.964 | val loss=0.3564 acc=0.900 | time=5.3s
[epoch 013] train loss=0.0900 acc=0.968 | val loss=0.3651 acc=0.904 | time=5.4s
[epoch 014] train loss=0.0831 acc=0.971 | val loss=0.3782 acc=0.900 | time=5.3s
[epoch 015] train loss=0.0753 acc=0.974 | val loss=0.3864 acc=0.900 | time=5.2s
[epoch 016] train loss=0.0720 acc=0.976 | val loss=0.3858 acc=0.905 | time=5.3s
[epoch 017] train loss=0.0662 acc=0.978 | val loss=0.3858 acc=0.902 | time=5.2s
[epoch 018] train loss=0.0622 acc=0.979 | val loss=0.4039 acc=0.903 | time=5.4s
[epoch 019] train loss=0.0593 acc=0.980 | val loss=0.3978 acc=0.906 | time=5.3s
[epoch 020] train loss=0.0551 acc=0.981 | val loss=0.4061 acc=0.905 | time=5.3s
[epoch 021] train loss=0.0535 acc=0.982 | val loss=0.4272 acc=0.903 | time=5.4s
[epoch 022] train loss=0.0506 acc=0.983 | val loss=0.4375 acc=0.905 | time=5.3s
[epoch 023] train loss=0.0496 acc=0.983 | val loss=0.4266 acc=0.902 | time=5.3s
[epoch 024] train loss=0.0449 acc=0.985 | val loss=0.4187 acc=0.907 | time=5.3s
[epoch 025] train loss=0.0440 acc=0.985 | val loss=0.4282 acc=0.905 | time=5.2s
[epoch 026] train loss=0.0416 acc=0.986 | val loss=0.4409 acc=0.905 | time=5.2s
[epoch 027] train loss=0.0406 acc=0.986 | val loss=0.4524 acc=0.905 | time=5.1s
[epoch 028] train loss=0.0394 acc=0.987 | val loss=0.4553 acc=0.906 | time=5.2s
[epoch 029] train loss=0.0376 acc=0.987 | val loss=0.4327 acc=0.905 | time=5.3s
[epoch 030] train loss=0.0355 acc=0.988 | val loss=0.4546 acc=0.908 | time=5.3s
[epoch 031] train loss=0.0341 acc=0.988 | val loss=0.4838 acc=0.907 | time=5.2s
[epoch 032] train loss=0.0333 acc=0.988 | val loss=0.4690 acc=0.907 | time=5.3s
[epoch 033] train loss=0.0320 acc=0.989 | val loss=0.4769 acc=0.906 | time=5.3s
[epoch 034] train loss=0.0312 acc=0.989 | val loss=0.4859 acc=0.908 | time=5.3s
[epoch 035] train loss=0.0298 acc=0.990 | val loss=0.4875 acc=0.910 | time=5.3s
[epoch 036] train loss=0.0291 acc=0.990 | val loss=0.5117 acc=0.908 | time=5.3s
[epoch 037] train loss=0.0283 acc=0.990 | val loss=0.4900 acc=0.908 | time=5.4s
[epoch 038] train loss=0.0273 acc=0.991 | val loss=0.4859 acc=0.909 | time=5.3s
[epoch 039] train loss=0.0274 acc=0.991 | val loss=0.5222 acc=0.908 | time=5.3s
[epoch 040] train loss=0.0257 acc=0.991 | val loss=0.5140 acc=0.909 | time=5.4s
[epoch 041] train loss=0.0253 acc=0.991 | val loss=0.5162 acc=0.907 | time=5.4s
[epoch 042] train loss=0.0257 acc=0.991 | val loss=0.5167 acc=0.908 | time=5.4s
[epoch 043] train loss=0.0236 acc=0.992 | val loss=0.5077 acc=0.908 | time=5.2s
[epoch 044] train loss=0.0238 acc=0.992 | val loss=0.5088 acc=0.910 | time=5.3s
[epoch 045] train loss=0.0227 acc=0.992 | val loss=0.5303 acc=0.910 | time=5.4s
[epoch 046] train loss=0.0229 acc=0.992 | val loss=0.5029 acc=0.910 | time=5.3s
[epoch 047] train loss=0.0221 acc=0.992 | val loss=0.5075 acc=0.910 | time=5.2s
[epoch 048] train loss=0.0212 acc=0.992 | val loss=0.5199 acc=0.908 | time=5.3s
[epoch 049] train loss=0.0215 acc=0.993 | val loss=0.5338 acc=0.909 | time=5.3s
[epoch 050] train loss=0.0205 acc=0.993 | val loss=0.5338 acc=0.911 | time=5.3s
[OK] saved: /home/jinlin/data/geoexplicit_data/experiments/icml2026_routegen/20260206_od_disjoint_s0/transformer_ar_seed0
