[device] cuda
[split] _sync/wsa/pi_verify/20260206_od_disjoint_s0/od_split_min5_max160_seed0.json train_routes=4316 val_routes=233 => train_idx=4316 val_idx=233
[data] total=5022 train=4316 val=233
[epoch 001] train loss=0.2699 acc=0.871 | val loss=0.2104 acc=0.910 | time=9.0s
[epoch 002] train loss=0.1867 acc=0.925 | val loss=0.1889 acc=0.921 | time=8.5s
[epoch 003] train loss=0.1602 acc=0.937 | val loss=0.1782 acc=0.925 | time=8.5s
[epoch 004] train loss=0.1461 acc=0.942 | val loss=0.1793 acc=0.926 | time=8.6s
[epoch 005] train loss=0.1357 acc=0.947 | val loss=0.1783 acc=0.927 | time=8.3s
[epoch 006] train loss=0.1274 acc=0.949 | val loss=0.1801 acc=0.926 | time=8.6s
[epoch 007] train loss=0.1218 acc=0.953 | val loss=0.1836 acc=0.925 | time=8.5s
[epoch 008] train loss=0.1159 acc=0.954 | val loss=0.1863 acc=0.926 | time=8.6s
[epoch 009] train loss=0.1111 acc=0.956 | val loss=0.1871 acc=0.926 | time=8.5s
[epoch 010] train loss=0.1058 acc=0.959 | val loss=0.1872 acc=0.931 | time=8.7s
[epoch 011] train loss=0.1019 acc=0.960 | val loss=0.1919 acc=0.926 | time=8.7s
[epoch 012] train loss=0.0981 acc=0.962 | val loss=0.1957 acc=0.926 | time=8.8s
[epoch 013] train loss=0.0956 acc=0.963 | val loss=0.1983 acc=0.929 | time=8.5s
[epoch 014] train loss=0.0918 acc=0.964 | val loss=0.2049 acc=0.926 | time=8.7s
[epoch 015] train loss=0.0881 acc=0.965 | val loss=0.2051 acc=0.926 | time=8.8s
[epoch 016] train loss=0.0863 acc=0.966 | val loss=0.2097 acc=0.930 | time=8.7s
[epoch 017] train loss=0.0843 acc=0.966 | val loss=0.2082 acc=0.929 | time=8.7s
[epoch 018] train loss=0.0815 acc=0.968 | val loss=0.2134 acc=0.926 | time=8.8s
[epoch 019] train loss=0.0804 acc=0.968 | val loss=0.2158 acc=0.929 | time=8.6s
[epoch 020] train loss=0.0771 acc=0.970 | val loss=0.2141 acc=0.930 | time=8.7s
[epoch 021] train loss=0.0758 acc=0.970 | val loss=0.2195 acc=0.929 | time=8.8s
[epoch 022] train loss=0.0727 acc=0.971 | val loss=0.2260 acc=0.927 | time=8.8s
[epoch 023] train loss=0.0714 acc=0.972 | val loss=0.2294 acc=0.925 | time=8.8s
[epoch 024] train loss=0.0695 acc=0.972 | val loss=0.2259 acc=0.927 | time=8.8s
[epoch 025] train loss=0.0677 acc=0.973 | val loss=0.2392 acc=0.925 | time=8.5s
[epoch 026] train loss=0.0662 acc=0.974 | val loss=0.2361 acc=0.929 | time=9.0s
[epoch 027] train loss=0.0640 acc=0.974 | val loss=0.2338 acc=0.927 | time=8.8s
[epoch 028] train loss=0.0621 acc=0.976 | val loss=0.2404 acc=0.926 | time=8.7s
[epoch 029] train loss=0.0613 acc=0.976 | val loss=0.2408 acc=0.928 | time=8.7s
[epoch 030] train loss=0.0588 acc=0.977 | val loss=0.2531 acc=0.926 | time=10.0s
[epoch 031] train loss=0.0563 acc=0.978 | val loss=0.2494 acc=0.926 | time=10.5s
[epoch 032] train loss=0.0558 acc=0.978 | val loss=0.2498 acc=0.928 | time=9.8s
[epoch 033] train loss=0.0542 acc=0.979 | val loss=0.2562 acc=0.927 | time=8.7s
[epoch 034] train loss=0.0542 acc=0.978 | val loss=0.2613 acc=0.925 | time=8.6s
[epoch 035] train loss=0.0515 acc=0.980 | val loss=0.2674 acc=0.927 | time=8.6s
[epoch 036] train loss=0.0498 acc=0.981 | val loss=0.2743 acc=0.925 | time=8.6s
[epoch 037] train loss=0.0487 acc=0.981 | val loss=0.2694 acc=0.928 | time=8.5s
[epoch 038] train loss=0.0469 acc=0.982 | val loss=0.2791 acc=0.925 | time=8.7s
[epoch 039] train loss=0.0468 acc=0.982 | val loss=0.2812 acc=0.925 | time=8.8s
[epoch 040] train loss=0.0458 acc=0.982 | val loss=0.2876 acc=0.927 | time=8.6s
[epoch 041] train loss=0.0443 acc=0.983 | val loss=0.2842 acc=0.926 | time=8.6s
[epoch 042] train loss=0.0423 acc=0.983 | val loss=0.2865 acc=0.926 | time=8.6s
[epoch 043] train loss=0.0423 acc=0.984 | val loss=0.2988 acc=0.928 | time=8.5s
[epoch 044] train loss=0.0407 acc=0.984 | val loss=0.3007 acc=0.927 | time=8.6s
[epoch 045] train loss=0.0400 acc=0.985 | val loss=0.3027 acc=0.926 | time=8.7s
[epoch 046] train loss=0.0375 acc=0.985 | val loss=0.3046 acc=0.925 | time=8.8s
[epoch 047] train loss=0.0379 acc=0.986 | val loss=0.3052 acc=0.925 | time=8.4s
[epoch 048] train loss=0.0370 acc=0.986 | val loss=0.3154 acc=0.925 | time=8.8s
[epoch 049] train loss=0.0354 acc=0.986 | val loss=0.3211 acc=0.925 | time=8.9s
[epoch 050] train loss=0.0346 acc=0.987 | val loss=0.3216 acc=0.924 | time=9.0s
[OK] saved: /home/jinlin/data/geoexplicit_data/experiments/icml2026_routegen/20260206_od_disjoint_s0/rnn_ar_seed0
