2026-02-06 14:59:21,914 - INFO - device=cuda
2026-02-06 14:59:21,920 - INFO - region_meta: {'n_regions': 154, 'n_cities': 2, 'region_city_counts': {'0': 77, '1': 77}, 'static_dim': 4, 'deg': {'p50': 4.0, 'p90': 8.0, 'max': 12}, 'n_ways': {'p50': 106.5, 'p90': 170.70000000000002, 'max': 239.0}, 'coord_scale': 1024.0}
2026-02-06 14:59:21,927 - INFO - split_json=_sync/wsa/pi_verify/20260206_od_disjoint_s0/od_split_min5_max160_seed0.json train_routes=4316 val_routes=233 => train_idx=4316 val_idx=233
2026-02-06 14:59:23,327 - INFO - [epoch 000] train={'loss': 1.511067036480617, 'acc': 0.3956888953291211, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 7933.0} val={'loss': 1.3879629373550415, 'acc': 0.5070093274116516, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 428.0}
2026-02-06 14:59:23,932 - INFO - [epoch 001] train={'loss': 1.2641833135974403, 'acc': 0.5284255632841165, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 7933.0} val={'loss': 1.2144628763198853, 'acc': 0.5257009267807007, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 428.0}
2026-02-06 14:59:24,541 - INFO - [epoch 002] train={'loss': 1.0398344151402397, 'acc': 0.6452792088741705, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 7933.0} val={'loss': 0.9678359031677246, 'acc': 0.6939252614974976, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 428.0}
2026-02-06 14:59:25,155 - INFO - [epoch 003] train={'loss': 0.8543239067350047, 'acc': 0.7267112083593142, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 7933.0} val={'loss': 0.8146175742149353, 'acc': 0.7383177280426025, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 428.0}
2026-02-06 14:59:25,802 - INFO - [epoch 004] train={'loss': 0.7413952041285404, 'acc': 0.7622589151961167, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 7933.0} val={'loss': 0.7198727130889893, 'acc': 0.7616822719573975, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 428.0}
2026-02-06 14:59:26,414 - INFO - [epoch 005] train={'loss': 0.6567302325792816, 'acc': 0.79591579260989, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 7933.0} val={'loss': 0.6408418416976929, 'acc': 0.8060747385025024, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 428.0}
2026-02-06 14:59:27,063 - INFO - [epoch 006] train={'loss': 0.5885823584663812, 'acc': 0.81658893331489, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 7933.0} val={'loss': 0.5976251363754272, 'acc': 0.8014018535614014, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 428.0}
2026-02-06 14:59:27,649 - INFO - [epoch 007] train={'loss': 0.5374698973417312, 'acc': 0.836001503592284, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 7933.0} val={'loss': 0.5672392845153809, 'acc': 0.8341121673583984, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 428.0}
2026-02-06 14:59:28,281 - INFO - [epoch 008] train={'loss': 0.48840584344556137, 'acc': 0.8539014213190063, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 7933.0} val={'loss': 0.5280683040618896, 'acc': 0.8457943797111511, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 428.0}
2026-02-06 14:59:28,906 - INFO - [epoch 009] train={'loss': 0.45466267127535703, 'acc': 0.8620950475055243, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 7933.0} val={'loss': 0.5004181265830994, 'acc': 0.84112149477005, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 428.0}
2026-02-06 14:59:29,531 - INFO - [epoch 010] train={'loss': 0.42297918844926286, 'acc': 0.8730618887736249, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 7933.0} val={'loss': 0.4764537215232849, 'acc': 0.8528037667274475, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 428.0}
2026-02-06 14:59:30,130 - INFO - [epoch 011] train={'loss': 0.38897077786761663, 'acc': 0.8826421279331993, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 7933.0} val={'loss': 0.4731184244155884, 'acc': 0.8574766516685486, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 428.0}
2026-02-06 14:59:30,754 - INFO - [epoch 012] train={'loss': 0.37078514852199823, 'acc': 0.8927265796432365, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 7933.0} val={'loss': 0.4426712989807129, 'acc': 0.8621495366096497, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 428.0}
2026-02-06 14:59:31,386 - INFO - [epoch 013] train={'loss': 0.3430241721132943, 'acc': 0.90142443833609, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 7933.0} val={'loss': 0.43531307578086853, 'acc': 0.8574766516685486, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 428.0}
2026-02-06 14:59:31,981 - INFO - [epoch 014] train={'loss': 0.32720068358208904, 'acc': 0.9068448226328352, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 7933.0} val={'loss': 0.4388129413127899, 'acc': 0.8738317489624023, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 428.0}
2026-02-06 14:59:32,570 - INFO - [epoch 015] train={'loss': 0.3136746376380935, 'acc': 0.9105004390611724, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 7933.0} val={'loss': 0.4241645932197571, 'acc': 0.8855140209197998, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 428.0}
2026-02-06 14:59:33,195 - INFO - [epoch 016] train={'loss': 0.2925320783517076, 'acc': 0.9169292777014098, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 7933.0} val={'loss': 0.4192722737789154, 'acc': 0.8761682510375977, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 428.0}
2026-02-06 14:59:33,788 - INFO - [epoch 017] train={'loss': 0.2764022550658922, 'acc': 0.9207109518224259, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 7933.0} val={'loss': 0.4114086925983429, 'acc': 0.8738317489624023, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 428.0}
2026-02-06 14:59:34,380 - INFO - [epoch 018] train={'loss': 0.2623079267757681, 'acc': 0.9263834603103581, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 7933.0} val={'loss': 0.40986907482147217, 'acc': 0.8738317489624023, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 428.0}
2026-02-06 14:59:34,957 - INFO - [epoch 019] train={'loss': 0.2546468066072969, 'acc': 0.9292827455495264, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 7933.0} val={'loss': 0.40848663449287415, 'acc': 0.8831775784492493, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 428.0}
2026-02-06 14:59:35,590 - INFO - [epoch 020] train={'loss': 0.244017230755111, 'acc': 0.9330644106543351, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 7933.0} val={'loss': 0.4119853675365448, 'acc': 0.8808411359786987, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 428.0}
2026-02-06 14:59:36,148 - INFO - [epoch 021] train={'loss': 0.2310350786748516, 'acc': 0.9387369225684262, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 7933.0} val={'loss': 0.41601839661598206, 'acc': 0.8785046935081482, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 428.0}
2026-02-06 14:59:36,718 - INFO - [epoch 022] train={'loss': 0.2228161178920904, 'acc': 0.939619319377023, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 7933.0} val={'loss': 0.3980060815811157, 'acc': 0.8855140209197998, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 428.0}
2026-02-06 14:59:37,292 - INFO - [epoch 023] train={'loss': 0.21520862414950187, 'acc': 0.9413840918587237, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 7933.0} val={'loss': 0.4060496687889099, 'acc': 0.8925233483314514, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 428.0}
2026-02-06 14:59:37,892 - INFO - [epoch 024] train={'loss': 0.20426786605202504, 'acc': 0.9431488778872762, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 7933.0} val={'loss': 0.39414912462234497, 'acc': 0.894859790802002, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 428.0}
2026-02-06 14:59:38,506 - INFO - [epoch 025] train={'loss': 0.19174521720628787, 'acc': 0.9459220888514575, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 7933.0} val={'loss': 0.3954737186431885, 'acc': 0.8925233483314514, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 428.0}
2026-02-06 14:59:39,062 - INFO - [epoch 026] train={'loss': 0.1861476975131663, 'acc': 0.9479389917079608, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 7933.0} val={'loss': 0.406565397977829, 'acc': 0.8878504633903503, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 428.0}
2026-02-06 14:59:39,624 - INFO - [epoch 027] train={'loss': 0.17329187186116246, 'acc': 0.9539896580440527, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 7933.0} val={'loss': 0.41779035329818726, 'acc': 0.8925233483314514, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 428.0}
2026-02-06 14:59:40,185 - INFO - [epoch 028] train={'loss': 0.1667824497867409, 'acc': 0.9573931664803222, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 7933.0} val={'loss': 0.39915943145751953, 'acc': 0.8925233483314514, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 428.0}
2026-02-06 14:59:40,766 - INFO - [epoch 029] train={'loss': 0.16468578465090383, 'acc': 0.9548720563328102, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 7933.0} val={'loss': 0.3946031928062439, 'acc': 0.8901869058609009, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 428.0}
2026-02-06 14:59:41,361 - INFO - [epoch 030] train={'loss': 0.15820873049263334, 'acc': 0.9568889569653158, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 7933.0} val={'loss': 0.40734192728996277, 'acc': 0.8971962332725525, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 428.0}
2026-02-06 14:59:41,985 - INFO - [epoch 031] train={'loss': 0.15176095654602145, 'acc': 0.9572671118907214, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 7933.0} val={'loss': 0.40874311327934265, 'acc': 0.8901869058609009, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 428.0}
2026-02-06 14:59:42,576 - INFO - [epoch 032] train={'loss': 0.1455227790775357, 'acc': 0.9613008885940808, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 7933.0} val={'loss': 0.40215644240379333, 'acc': 0.9018691778182983, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 428.0}
2026-02-06 14:59:43,197 - INFO - [epoch 033] train={'loss': 0.14309980146531484, 'acc': 0.9582755579994108, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 7933.0} val={'loss': 0.41507771611213684, 'acc': 0.8925233483314514, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 428.0}
2026-02-06 14:59:43,789 - INFO - [epoch 034] train={'loss': 0.1354398447031724, 'acc': 0.9645783386990234, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 7933.0} val={'loss': 0.41175806522369385, 'acc': 0.8878504633903503, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 428.0}
2026-02-06 14:59:44,346 - INFO - [epoch 035] train={'loss': 0.1339194535134675, 'acc': 0.9628135515359316, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 7933.0} val={'loss': 0.40147820115089417, 'acc': 0.8901869058609009, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 428.0}
2026-02-06 14:59:44,915 - INFO - [epoch 036] train={'loss': 0.12736868964935272, 'acc': 0.9628135632194337, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 7933.0} val={'loss': 0.4167025089263916, 'acc': 0.894859790802002, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 428.0}
