rank,case_idx,score
1,191,31.194653
2,190,27.747651
3,192,24.972450
4,193,24.396918
5,194,22.801639
6,336,18.681573
7,198,18.353540
8,359,18.273451
9,333,18.135303
10,337,17.979060
