[device] cuda
[data] total=7093 train=6738 val=355
[epoch 001] train loss=0.0845 | val loss=0.0273 | time=2.5s
[epoch 002] train loss=0.0201 | val loss=0.0171 | time=1.9s
[epoch 003] train loss=0.0167 | val loss=0.0162 | time=1.9s
[epoch 004] train loss=0.0147 | val loss=0.0131 | time=1.9s
[epoch 005] train loss=0.0140 | val loss=0.0126 | time=2.0s
[epoch 006] train loss=0.0128 | val loss=0.0122 | time=2.0s
[epoch 007] train loss=0.0121 | val loss=0.0125 | time=1.9s
[epoch 008] train loss=0.0117 | val loss=0.0109 | time=2.0s
[epoch 009] train loss=0.0118 | val loss=0.0110 | time=2.0s
[epoch 010] train loss=0.0107 | val loss=0.0107 | time=2.0s
[epoch 011] train loss=0.0104 | val loss=0.0097 | time=1.9s
[epoch 012] train loss=0.0100 | val loss=0.0090 | time=1.9s
[epoch 013] train loss=0.0100 | val loss=0.0103 | time=2.0s
[epoch 014] train loss=0.0095 | val loss=0.0109 | time=2.0s
[epoch 015] train loss=0.0108 | val loss=0.0113 | time=2.0s
[epoch 016] train loss=0.0100 | val loss=0.0096 | time=2.0s
[epoch 017] train loss=0.0097 | val loss=0.0098 | time=2.0s
[epoch 018] train loss=0.0096 | val loss=0.0108 | time=2.0s
[epoch 019] train loss=0.0094 | val loss=0.0088 | time=2.0s
[epoch 020] train loss=0.0088 | val loss=0.0085 | time=2.0s
[epoch 021] train loss=0.0090 | val loss=0.0090 | time=2.0s
[epoch 022] train loss=0.0094 | val loss=0.0099 | time=2.1s
[epoch 023] train loss=0.0091 | val loss=0.0088 | time=2.0s
[epoch 024] train loss=0.0090 | val loss=0.0091 | time=2.0s
[epoch 025] train loss=0.0086 | val loss=0.0099 | time=2.0s
[epoch 026] train loss=0.0087 | val loss=0.0091 | time=2.0s
[epoch 027] train loss=0.0084 | val loss=0.0086 | time=2.0s
[epoch 028] train loss=0.0089 | val loss=0.0087 | time=2.0s
[epoch 029] train loss=0.0085 | val loss=0.0083 | time=2.0s
[epoch 030] train loss=0.0084 | val loss=0.0088 | time=2.0s
[epoch 031] train loss=0.0082 | val loss=0.0080 | time=2.0s
[epoch 032] train loss=0.0084 | val loss=0.0092 | time=2.0s
[epoch 033] train loss=0.0081 | val loss=0.0077 | time=2.0s
[epoch 034] train loss=0.0082 | val loss=0.0095 | time=2.0s
[epoch 035] train loss=0.0082 | val loss=0.0077 | time=2.0s
[epoch 036] train loss=0.0078 | val loss=0.0074 | time=2.0s
[epoch 037] train loss=0.0081 | val loss=0.0087 | time=2.0s
[epoch 038] train loss=0.0080 | val loss=0.0098 | time=2.0s
[epoch 039] train loss=0.0079 | val loss=0.0073 | time=2.0s
[epoch 040] train loss=0.0081 | val loss=0.0080 | time=2.0s
[epoch 041] train loss=0.0082 | val loss=0.0092 | time=2.0s
[epoch 042] train loss=0.0077 | val loss=0.0068 | time=2.0s
[epoch 043] train loss=0.0077 | val loss=0.0091 | time=2.0s
[epoch 044] train loss=0.0078 | val loss=0.0079 | time=2.0s
[epoch 045] train loss=0.0080 | val loss=0.0082 | time=2.0s
[epoch 046] train loss=0.0076 | val loss=0.0078 | time=2.1s
[epoch 047] train loss=0.0074 | val loss=0.0072 | time=2.0s
[epoch 048] train loss=0.0077 | val loss=0.0076 | time=2.0s
[epoch 049] train loss=0.0074 | val loss=0.0075 | time=2.0s
[epoch 050] train loss=0.0076 | val loss=0.0075 | time=2.0s
[OK] saved: /home/jinlin/data/geoexplicit_data/experiments/icml2026_routegen/_baseline_sota_runs/S2_difftraj_seed0
